offer_id,extraction_date,lat,lng,area_m2,furnished,zip_code,main_category,rooms,build_year,state,city,sub_category,balcony,heat_type,offer_title,kitchen,rent_price,garden
45687440,2021-11-10 05:15:08,48.783393645590856,9.252805551232035,60.0,1,70327.0,Wohnung,2.0,2012.0,Baden-Württemberg,Stuttgart,Wohnung,0,,MÖBLIERT - CLASSIC LIVING - Wohnung mit Balkon und Reinigungsservice,0,1100.0,0
43262609,2021-11-10 05:15:08,50.11529,8.68713,24.0,1,60313.0,Wohnung,1.0,,Hessen,Frankfurt am Main,Wohnung,0,,Vollmöbliertes Apartment in Frankfurt City,1,760.0,0
45687445,2021-11-10 05:15:08,52.38627,9.7373,80.25,1,30161.0,Wohnung,3.0,1962.0,Niedersachsen,Hannover,Etagenwohnung,0,Zentralheizung,3-Zi. Whg in Vahrenwald-List,0,627.0,0
45687447,2021-11-10 05:15:08,51.51014,7.43849,35.0,1,44137.0,Wohnung,1.0,,Nordrhein-Westfalen,Dortmund,Etagenwohnung,0,,Schöne zentrale 1 1/2 Zimmer-Wohnung mit Balkon in der Innenstadt,0,315.0,0
45720216,2021-11-10 05:15:08,48.19265857056991,11.463330191482495,56.14,1,80997.0,Wohnung,2.0,2018.0,Bayern,München,Etagenwohnung,0,,Neuwertige Loggiawohnung | 5 Min. zur S-Bahn,1,1090.0,0
42934937,2021-11-10 05:15:08,51.14109,13.79628,51.0,1,1108.0,Wohnung,2.0,1996.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,Erstbezug - Moderne Wohnungen,0,500.0,0
22192794,2021-11-10 05:15:08,48.09765549530504,11.564060992957558,90.0,1,81545.0,Wohnung,3.0,1972.0,Bayern,München,Etagenwohnung,1,Zentralheizung,Grosszügige drei Zimmer Nähe Klinikum Harlaching,0,1550.0,0
42934941,2021-11-10 05:15:08,51.14109,13.79628,48.0,1,1108.0,Wohnung,2.0,1996.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,Erstbezug - Moderne Wohnungen,0,470.0,0
45851297,2021-11-10 05:15:08,53.57935,10.09719,53.7,1,22041.0,Wohnung,1.0,2022.0,Hamburg,Hamburg,Wohnung,0,,Barrierefreie 1 Zimmer-Neubauwohnung (53,1,886.0,0
45851300,2021-11-10 05:15:08,51.49788,7.58943,45.0,1,44289.0,Wohnung,2.0,1959.0,Nordrhein-Westfalen,Dortmund,Erdgeschosswohnung,1,Zentralheizung,Sorgenfreies Wohnen in Dortmund-Sölde,1,395.0,0
45720248,2021-11-10 05:15:08,53.47690560902712,9.898357049959015,86.0,1,21075.0,Wohnung,3.0,1959.0,Hamburg,Hamburg,Etagenwohnung,1,Etagenheizung,Familiengerechte,1,740.0,0
45851321,2021-11-10 05:15:08,53.571400777936,9.8431535618602,121.5,1,22589.0,Wohnung,5.0,2021.0,Hamburg,Hamburg,Wohnung,1,,Neubau - Reihenhäuser direkt am Naturschutzgebiet,1,1690.0,1
